"No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
13,"Quincy Acy","PF","6-7",240,"October 6, 1990","us","4","Baylor University"
13,"Anthony Bennett","PF","6-8",245,"March 14, 1993","ca","3","University of Nevada, Las Vegas"
44,"Bojan Bogdanovic","SF","6-8",216,"April 18, 1989","ba","2",""
35,"Trevor Booker","PF","6-8",228,"November 25, 1987","us","6","Clemson University"
8,"Spencer Dinwiddie","PG","6-6",200,"April 6, 1993","us","2","University of Colorado"
10,"Yogi Ferrell","PG","6-0",180,"May 9, 1993","us","R","Indiana University"
2,"Randy Foye","SG","6-4",213,"September 24, 1983","us","10","Villanova University"
10,"Archie Goodwin","SG","6-5",200,"August 17, 1994","us","3","University of Kentucky"
41,"Justin Hamilton","C","7-0",260,"April 1, 1990","us","2","Louisiana State University"
12,"Joe Harris","SG","6-6",219,"September 7, 1991","us","2","University of Virginia"
24,"Rondae Hollis-Jefferson","SF","6-7",220,"January 3, 1995","us","1","University of Arizona"
6,"Sean Kilpatrick","SG","6-4",210,"January 6, 1990","us","2","University of Cincinnati"
22,"Caris LeVert","SF","6-7",203,"August 25, 1994","us","R","University of Michigan"
7,"Jeremy Lin","PG","6-3",200,"August 23, 1988","us","6","Harvard University"
11,"Brook Lopez","C","7-0",275,"April 1, 1988","us","8","Stanford University"
1,"Chris McCullough","PF","6-11",200,"February 5, 1995","us","1","Syracuse University"
14,"K.J. McDaniels","SF","6-6",205,"February 9, 1993","us","2","Clemson University"
44,"Andrew Nicholson","PF","6-9",250,"December 8, 1989","ca","4","St. Bonaventure University"
4,"Luis Scola","PF","6-9",240,"April 30, 1980","ar","9",""
21,"Greivis Vasquez","PG","6-6",217,"January 16, 1987","ve","6","University of Maryland"
15,"Isaiah Whitehead","PG","6-4",213,"March 8, 1995","us","R","Seton Hall University"
