"No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
5,"Nicolas Batum","SG","6-8",200,"December 14, 1988","fr","8",""
21,"Marco Belinelli","SG","6-5",210,"March 25, 1986","it","9",""
12,"Treveon Graham","SG","6-6",220,"October 29, 1993","us","R","Virginia Commonwealth University"
9,"Aaron Harrison","SG","6-6",210,"October 28, 1994","us","1","University of Kentucky"
0,"Spencer Hawes","PF","7-1",245,"April 28, 1988","us","9","University of Washington"
55,"Roy Hibbert","C","7-2",270,"December 11, 1986","us","8","Georgetown University"
44,"Frank Kaminsky","C","7-0",242,"April 4, 1993","us","1","University of Wisconsin"
14,"Michael Kidd-Gilchrist","SF","6-7",232,"September 26, 1993","us","4","University of Kentucky"
3,"Jeremy Lamb","SG","6-5",185,"May 30, 1992","us","4","University of Connecticut"
8,"Johnny O'Bryant","PF","6-9",257,"June 1, 1993","us","2","Louisiana State University"
18,"Miles Plumlee","C","6-11",249,"September 1, 1988","us","4","Duke University"
22,"Brian Roberts","PG","6-1",173,"December 3, 1985","us","4","University of Dayton"
7,"Ramon Sessions","PG","6-3",190,"April 11, 1986","us","9","University of Nevada, Reno"
10,"Mike Tobey","C","7-0",260,"October 10, 1994","us","R","University of Virginia"
15,"Kemba Walker","PG","6-1",172,"May 8, 1990","us","5","University of Connecticut"
0,"Briante Weber","PG","6-2",165,"December 29, 1992","us","1","Virginia Commonwealth University"
2,"Marvin Williams","PF","6-9",237,"June 19, 1986","us","11","University of North Carolina"
35,"Christian Wood","PF","6-11",220,"September 27, 1995","us","1","University of Nevada, Las Vegas"
40,"Cody Zeller","PF","7-0",240,"October 5, 1992","us","3","Indiana University"
