"No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
12,"Aron Baynes","C","6-10",260,"December 9, 1986","nz","4","Washington State University"
25,"Reggie Bullock","SF","6-7",205,"March 16, 1991","us","3","University of North Carolina"
5,"Kentavious Caldwell-Pope","SG","6-5",205,"February 18, 1993","us","3","University of Georgia"
0,"Andre Drummond","C","6-11",279,"August 10, 1993","us","4","University of Connecticut"
8,"Henry Ellenson","PF","6-11",245,"January 13, 1997","us","R","Marquette University"
9,"Michael Gbinije","SG","6-7",200,"June 5, 1992","us","R","Syracuse University"
34,"Tobias Harris","PF","6-9",235,"July 15, 1992","us","5","University of Tennessee"
6,"Darrun Hilliard","SG","6-6",205,"April 13, 1993","us","1","Villanova University"
1,"Reggie Jackson","PG","6-3",208,"April 16, 1990","it","5","Boston College"
7,"Stanley Johnson","SF","6-7",245,"May 29, 1996","us","1","University of Arizona"
30,"Jon Leuer","PF","6-10",228,"May 14, 1989","us","5","University of Wisconsin"
51,"Boban Marjanovic","C","7-3",290,"August 15, 1988","rs","1",""
13,"Marcus Morris","SF","6-9",235,"September 2, 1989","us","5","University of Kansas"
14,"Ish Smith","PG","6-0",175,"July 5, 1988","us","6","Wake Forest University"
19,"Beno Udrih","PG","6-3",205,"July 5, 1982","si","12",""
